hash,max_fee_wei,max_priority_fee_wei,gas_limit,gas_price_wei
df1d74c843b663b78084a0acfec5fc85fe5dd30f3dfd5a3b4b789f5f40eb9ff9,9600000000.0,9600000000.0,65000,9600000000
127040e69919eca0778921a0e4e24d60c8aa6bf4a2933226c6782e1abd3850f4,2172895906.0,2000000000.0,21000,2086447953
76002fd6be95626bc509caf219d3572dbfe1f7b4d248448be7bf74e539f16bb6,2086447953.0,2000000000.0,21000,2086447953
c6b80246523f21bc5b2c47a060727ec02b5e81cbeaf46d92e78defb615311152,2120000000.0,2000000000.0,21000,2086447953
100735c1fc4b1f89d9adc0bf1ee3540d7a2a557aa652d1b910ccfd7d54caa125,2186955150.0,2000000000.0,31500,2086447953
9dc98aebbc94e908ef4a5987ffa0cf2af43bfe8d5bed37eae68e49926ca1d0f3,200000000000.0,2000000000.0,90000,2086447953
503b0223dfadad8a8cb7d164101bbf6391b877b7356b1e4128cbbd8d1be82a81,200000000000.0,2000000000.0,90000,2086447953
bba4b2513cb9e5589c13189d1973691f0d5c47eddc50725eca3bd7ffff18fb2f,102000000000.0,2000000000.0,84000,2086447953
2e6697ffb2b41e1b8d1d53f60e7f97b3430227111c3f39b365446c1caac3d319,170000000000.0,1000000000.0,220436,1086447953
bff35b5a33350ac69a1e4efefa558d254ece4e2fb013bcdf394b8dbbd56e5b42,170000000000.0,1000000000.0,207128,1086447953
c80602e72aaa15343f5584ef26d13b34877ea6708f6ceaa5e637c43af005397e,170000000000.0,1000000000.0,207128,1086447953
aae3b6b20f918c85244e084a15ab40bb8f8fa4975793b3f0d2fc15f2e17359ad,1651875000.0,1000000000.0,80000,1086447953
f3a257580c7cad3bfae9916add98a3a4baf3c1d92ae12330961cb8e69570f281,1123087027.0,1000000000.0,60000,1086447953
cf692c6806a8fbe181dc542a352feb4c46b7b93b15db383ed5f35a7685f770fb,1651800000.0,1000000000.0,100000,1086447953
9f6fa26c756c3612d9f264a2bd1ee55f7eb56726fed3237cb6ac5907fcfca34b,3257907510.0,1000000000.0,100000,1086447953
07328d57fcae2e49625745c117a482b6b9a878456383eaafdb61f07e5c9302e3,949700421.0,737563153.0,21000,824011106
bf20cae3dd8877ce2b6655e0e3c648463eaf89480e060b827019478d0bf872ac,,,21000,600000000
7cbf5fbd7bf6e50a49df1c4b6ad0c6a0bf6a79a4fc579b0ea9dc02b66b9446cf,487715498.0,399230636.0,134118,485678589
2150330640dd7e602147bd2a97d3edde5be628e49b0b79b31ae915e73a1f4fd0,351551341.0,250110000.0,21000,336557953
59632bcc558efc9e5bd63e55081a231809ba1b33f82770402521b1c14655019b,351551341.0,250110000.0,70000,336557953
5cbdb6a59afe3439acfd57b59b8c01754e91ea71380e05da85ab8d365f13b97c,351441342.0,250000001.0,21000,336447954
61d13b382bc0006a993335cc0e4c93146049c146f8f09de7d4f3be6135485868,310000000.0,98000000.0,84000,184447953
34cc8dde5ccfe925a03583923413dcde2cd2bb842479f3a1af3095c53c76ed03,,,21000,180405034
64d73f3138fe70c27063737b873d7432db77a00a5758f805d224d46fbcbfced0,270000000.0,79000000.0,23100,165447953
7c3a92e3891b77e2be745d55638db6f3b19cfa6bf72f41dd56eeea0b6aed1499,260000000.0,79000000.0,69399,165447953
e9baa671460ee1f4cf2167ac82f8bcfc7471c2403f931b741bda7152eb04deb4,260000000.0,79000000.0,23100,165447953
aed4fbac6c08294129ed6065acb9767ded267e35a33cf58221a184ea934e1428,250000000.0,69000000.0,23100,155447953
6aeee7e688d469fdab893956dcfca58d06e01ff95fe6f6015d5323d7ee1af9c4,1359691700.0,50000000.0,229708,136447953
56f4c328f1acb288cc002251ec47e145db63bc03ee755179e9a78624c11ab5aa,136558857.0,46456340.0,192151,132904293
21b0b31fa43927f015fdd129c4789c8a4f9e5c8d2fc820f66bf93472d5fa245f,124964394.0,38995224.0,141775,124964394
2fcceed25bab551d7ce776dce2122c622f8cb1eceeae29c4f22750218cec9a4b,,,21000,129103755
8ca56435864f0a8b7079cf0bd8667caaee66edf74d81e6708c76407e0513d9df,,,21000,114305207
e8f1dcbcb17bbb6dbfc87df44205114e07caf30e7e02db3a11af6d602cfb28c5,,,21000,114305207
36dba5faca3cd0ab741f98cf264355e0b8db3e79b9d9635837f379c7e457bc3e,,,21000,114305207
b2a465aef58544ac62d994c5746e70075bc6ce3393010950cef71df328e9d15b,123285729.0,20000000.0,85519,106447953
f098e318afaeea1c1a8787e4e910617c2352f3e611a06aa1af8802b91ab73564,116821707.0,20000000.0,133542,106447953
4429119fd100546725e618aceeb87dc62f7ad59f02c1b7da6542a5e41b73e4ed,,,350000,111889921
5051d80ff9cae3e1bd345e64de29b483ef1417a648d63c5d060c4c81e8bd7b2c,163072975.0,18000000.0,4256400,104447953
22b5adeaa0742eec99b23f81a259ea49a3925f7160870e810fcd3bd0805a1513,200000000.0,17127013.0,300000,103574966
164c00058a47a1b02150c62f90dad832b9e5ee308171d6960e895dc9beb95014,115399251.0,11539925.0,21000,97987878
